aa,frequency
ALA,0.056696577256688856
ARG,0.0703638987705927
ASN,0.0447733697602165
ASP,0.060867809350961116
CYS,0.013310132111809937
GLN,0.05562179112786576
GLU,0.08989266619363205
GLY,0.055205874639391556
HIS,0.027719184771503366
ILE,0.04154740241247653
LEU,0.08425406142048755
LYS,0.08319456042373605
MET,0.02219722969048412
PHE,0.033024734561614366
PRO,0.04960749389801438
SER,0.0655828703547277
THR,0.052657279986613445
TRP,0.010460661701412185
TYR,0.031879958617516115
VAL,0.051142442950255745
